133.0005.617; ist nicht vorhanden
133.0005.632; ist nicht vorhanden
133.0391.657; ist nicht vorhanden
133.0005.633; ist nicht vorhanden
133.0188.487; ist nicht vorhanden
114.0512.361; ist nicht vorhanden
101.0174.629; ist nicht vorhanden
133.0188.488; ist nicht vorhanden
133.0391.742; ist nicht vorhanden
133.0005.635; ist nicht vorhanden
133.0188.490; ist nicht vorhanden
101.0174.631; ist nicht vorhanden
101.0174.633; ist nicht vorhanden
133.0005.641; ist nicht vorhanden
133.0392.242; ist nicht vorhanden
133.0005.642; ist nicht vorhanden
114.0512.405; ist nicht vorhanden
133.0392.531; ist nicht vorhanden
133.0005.644; ist nicht vorhanden
114.0512.406; ist nicht vorhanden
133.0005.645; ist nicht vorhanden
114.0512.407; ist nicht vorhanden
133.0188.568; ist nicht vorhanden
133.0005.646; ist nicht vorhanden
133.0393.266; ist nicht vorhanden
133.0188.569; ist nicht vorhanden
114.0512.409; ist nicht vorhanden
133.0005.650; ist nicht vorhanden
133.0188.570; ist nicht vorhanden
101.0174.993; ist nicht vorhanden
133.0188.571; ist nicht vorhanden
133.0005.654; ist nicht vorhanden
114.0512.422; ist nicht vorhanden
133.0188.572; ist nicht vorhanden
133.0393.276; ist nicht vorhanden
133.0005.657; ist nicht vorhanden
133.0188.694; ist nicht vorhanden
133.0005.659; ist nicht vorhanden
133.0188.695; ist nicht vorhanden
101.0179.271; ist nicht vorhanden
114.0512.429; ist nicht vorhanden
133.0393.290; ist nicht vorhanden
114.0512.430; ist nicht vorhanden
114.0512.441; ist nicht vorhanden
114.0512.442; ist nicht vorhanden
133.0005.665; ist nicht vorhanden
101.0197.662; ist nicht vorhanden
133.0188.772; ist nicht vorhanden
114.0512.444; ist nicht vorhanden
101.0197.672; ist nicht vorhanden
133.0005.669; ist nicht vorhanden
133.0188.777; ist nicht vorhanden
114.0556.498; ist nicht vorhanden
133.0393.434; ist nicht vorhanden
101.0259.879; ist nicht vorhanden
114.0556.499; ist nicht vorhanden
133.0005.679; ist nicht vorhanden
101.0259.891; ist nicht vorhanden
114.0556.500; ist nicht vorhanden
133.0394.142; ist nicht vorhanden
101.0259.892; ist nicht vorhanden
114.0556.571; ist nicht vorhanden
133.0005.684; ist nicht vorhanden
133.0394.478; ist nicht vorhanden
114.0556.573; ist nicht vorhanden
133.0394.480; ist nicht vorhanden
114.0556.575; ist nicht vorhanden
133.0394.481; ist nicht vorhanden
101.0263.920; ist nicht vorhanden
133.0005.687; ist nicht vorhanden
133.0005.688; ist nicht vorhanden
133.0394.483; ist nicht vorhanden
133.0188.933; ist nicht vorhanden
133.0394.484; ist nicht vorhanden
114.0556.579; ist nicht vorhanden
133.0005.690; ist nicht vorhanden
133.0394.486; ist nicht vorhanden
114.0556.580; ist nicht vorhanden
101.0272.122; ist nicht vorhanden
133.0005.691; ist nicht vorhanden
133.0394.487; ist nicht vorhanden
133.0394.488; ist nicht vorhanden
114.0556.582; ist nicht vorhanden
133.0005.692; ist nicht vorhanden
133.0394.489; ist nicht vorhanden
114.0556.583; ist nicht vorhanden
101.0272.127; ist nicht vorhanden
133.0005.694; ist nicht vorhanden
133.0005.695; ist nicht vorhanden
114.0556.585; ist nicht vorhanden
101.0272.225; ist nicht vorhanden
133.0189.337; ist nicht vorhanden
133.0183.455; ist nicht vorhanden
133.0382.906; ist nicht vorhanden
114.0477.419; ist nicht vorhanden
114.0477.425; ist nicht vorhanden
133.0183.459; ist nicht vorhanden
133.0183.460; ist nicht vorhanden
114.0477.428; ist nicht vorhanden
133.0382.909; ist nicht vorhanden
133.0183.475; ist nicht vorhanden
133.0183.477; ist nicht vorhanden
114.0477.485; ist nicht vorhanden
133.0183.480; ist nicht vorhanden
114.0477.487; ist nicht vorhanden
114.0477.488; ist nicht vorhanden
133.0382.919; ist nicht vorhanden
133.0183.484; ist nicht vorhanden
133.0183.486; ist nicht vorhanden
114.0477.492; ist nicht vorhanden
114.0477.493; ist nicht vorhanden
133.0382.953; ist nicht vorhanden
